family,father,mother,midparentHeight,children,childNum,gender,childHeight
001,78.5,67.0,75.43,4,1,male,73.2
001,78.5,67.0,75.43,4,2,female,69.2
001,78.5,67.0,75.43,4,3,female,69.0
001,78.5,67.0,75.43,4,4,female,69.0
002,75.5,66.5,73.66,4,1,male,73.5
002,75.5,66.5,73.66,4,2,male,72.5
002,75.5,66.5,73.66,4,3,female,65.5
002,75.5,66.5,73.66,4,4,female,65.5
003,75.0,64.0,72.06,2,1,male,71.0
003,75.0,64.0,72.06,2,2,female,68.0
004,75.0,64.0,72.06,5,1,male,70.5
004,75.0,64.0,72.06,5,2,male,68.5
004,75.0,64.0,72.06,5,3,female,67.0
004,75.0,64.0,72.06,5,4,female,64.5
004,75.0,64.0,72.06,5,5,female,63.0
005,75.0,58.5,69.09,6,1,male,72.0
005,75.0,58.5,69.09,6,2,male,69.0
005,75.0,58.5,69.09,6,3,male,68.0
005,75.0,58.5,69.09,6,4,female,66.5
005,75.0,58.5,69.09,6,5,female,62.5
005,75.0,58.5,69.09,6,6,female,62.5
006,74.0,68.0,73.72,1,1,female,69.5
007,74.0,68.0,73.72,6,1,male,76.5
007,74.0,68.0,73.72,6,2,male,74.0
007,74.0,68.0,73.72,6,3,male,73.0
007,74.0,68.0,73.72,6,4,male,73.0
007,74.0,68.0,73.72,6,5,female,70.5
007,74.0,68.0,73.72,6,6,female,64.0
008,74.0,66.5,72.91,3,1,female,70.5
008,74.0,66.5,72.91,3,2,female,68.0
008,74.0,66.5,72.91,3,3,female,66.0
009,74.5,66.0,72.89,1,1,female,66.0
010,74.0,65.5,72.37,1,1,female,65.5
011,74.0,62.0,70.48,8,1,male,74.0
011,74.0,62.0,70.48,8,2,male,70.0
011,74.0,62.0,70.48,8,3,female,68.0
011,74.0,62.0,70.48,8,4,female,67.0
011,74.0,62.0,70.48,8,5,female,67.0
011,74.0,62.0,70.48,8,6,female,66.0
011,74.0,62.0,70.48,8,7,female,63.5
011,74.0,62.0,70.48,8,8,female,63.0
012,74.0,61.0,69.94,1,1,female,65.0
013,73.0,67.0,72.68,2,1,male,71.0
013,73.0,67.0,72.68,2,2,female,62.0
014,73.0,67.0,72.68,2,1,male,68.0
014,73.0,67.0,72.68,2,2,male,67.0
015,73.0,66.5,72.41,3,1,male,71.0
015,73.0,66.5,72.41,3,2,male,70.5
015,73.0,66.5,72.41,3,3,female,66.7
016,73.0,65.0,71.6,9,1,male,72.0
016,73.0,65.0,71.6,9,2,male,70.5
016,73.0,65.0,71.6,9,3,male,70.2
016,73.0,65.0,71.6,9,4,male,70.2
016,73.0,65.0,71.6,9,5,male,69.2
016,73.0,65.0,71.6,9,6,female,68.7
016,73.0,65.0,71.6,9,7,female,66.5
016,73.0,65.0,71.6,9,8,female,64.5
016,73.0,65.0,71.6,9,9,female,63.5
017,73.0,64.5,71.33,6,1,male,74.0
017,73.0,64.5,71.33,6,2,male,73.0
017,73.0,64.5,71.33,6,3,male,71.5
017,73.0,64.5,71.33,6,4,male,62.5
017,73.0,64.5,71.33,6,5,female,66.5
017,73.0,64.5,71.33,6,6,female,62.3
018,73.0,64.0,71.06,3,1,female,66.0
018,73.0,64.0,71.06,3,2,female,64.5
018,73.0,64.0,71.06,3,3,female,64.0
019,73.2,63.0,70.62,1,1,female,62.7
020,72.7,69.0,73.61,8,1,male,73.2
020,72.7,69.0,73.61,8,2,male,73.0
020,72.7,69.0,73.61,8,3,male,72.7
020,72.7,69.0,73.61,8,4,female,70.0
020,72.7,69.0,73.61,8,5,female,69.0
020,72.7,69.0,73.61,8,6,female,68.5
020,72.7,69.0,73.61,8,7,female,68.0
020,72.7,69.0,73.61,8,8,female,66.0
021,72.0,68.0,72.72,3,1,male,73.0
021,72.0,68.0,72.72,3,2,female,68.5
021,72.0,68.0,72.72,3,3,female,68.0
