kabkota,kecamatan,negeri,swasta
Jakarta Pusat,Tanah Abang,33,12
Jakarta Pusat,Menteng,17,13
Jakarta Pusat,Senen,39,12
Jakarta Pusat,Johar Baru,35,5
Jakarta Pusat,Cempaka Putih,25,9
Jakarta Pusat,Kemayoran,70,25
Jakarta Pusat,Sawah Besar,25,19
Jakarta Pusat,Gambir,32,9
Jakarta Utara,Penjaringan,39,34
Jakarta Utara,Pademangan,27,11
Jakarta Utara,Tanjung Priok,55,50
Jakarta Utara,Koja,71,22
Jakarta Utara,Kelapa Gading,17,27
Jakarta Utara,Cilincing,60,38
Jakarta Barat,Kembangan,57,27
Jakarta Barat,Kebon Jeruk,68,25
Jakarta Barat,Palmerah,56,10
Jakarta Barat,Grogol Petamburan,45,28
Jakarta Barat,Tambora,35,34
Jakarta Barat,Taman Sari,30,20
Jakarta Barat,Cengkareng,92,42
Jakarta Barat,Kalideres,73,36
Jakarta Selatan,Jagakarsa,62,21
Jakarta Selatan,Pasar Minggu,65,19
Jakarta Selatan,Cilandak,46,23
Jakarta Selatan,Pesanggrahan,48,14
Jakarta Selatan,Kebayoran Lama,82,22
Jakarta Selatan,Kebayoran Baru,42,17
Jakarta Selatan,Mampang Prapatan,36,7
Jakarta Selatan,Pancoran,44,3
Jakarta Selatan,Tebet,61,17
Jakarta Selatan, Setia Budi,35,11
Jakarta Timur, Pasar Rebo,59,8
Jakarta Timur, Ciracas,55,10
Jakarta Timur, Cipayung,55,13
Jakarta Timur, Makasar,48,19
Jakarta Timur, Kramat Jati,75,13
Jakarta Timur, Jatinegara,74,24
Jakarta Timur, Duren Sawit,98,31
Jakarta Timur, Cakung,88,22
Jakarta Timur, Pulo Gadung,66,26
Jakarta Timur, Matraman,54,11
Kepulauan Seribu, Kepulauan Seribu Selatan,7,0
Kepulauan Seribu, Kepulauan Seribu Utara,7,0
